rank,batch_size,learning_rate,regression_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
112,128,0.00075,3.0,6.0,3,3,1e-07,0.9875075090947211,0.21615676041444143,0.9624219193010473,0.994641767488147,0.99296634958969,37,142.87113881111145
113,64,0.00075,3.0,8.0,2,3,1e-07,0.9874607951691172,0.22496684165795644,0.9621461267869668,0.9941845342716161,0.993512519617886,37,240.55498719215393
114,128,0.00075,3.0,6.0,3,3,1e-08,0.98742851558224,0.2243498653570811,0.9612033134223691,0.9942094294961062,0.9943013194104848,37,142.83710861206055
115,64,0.0005,2.0,8.0,2,3,1e-08,0.9874246224446371,0.15227695751190184,0.9624236924157414,0.9935162231929505,0.9937585741698567,37,246.0462007522583
116,64,0.00075,2.0,6.0,2,3,1e-08,0.9873095795959937,0.1464323180913925,0.9622297443334379,0.9938755159343883,0.9931330581161489,37,248.33316373825073
117,128,0.0005,2.0,6.0,3,3,1e-07,0.9872482909717061,0.14603353953361511,0.9618898713429171,0.9931984604143114,0.9939048321295959,37,142.7970747947693
118,128,0.0005,2.0,8.0,3,3,1e-08,0.9872284287479718,0.144405668258667,0.9610923892542825,0.9946681626667626,0.993153163070842,37,142.8281009197235
119,128,0.0005,3.0,8.0,3,3,1e-07,0.9872214403403465,0.21223429914315542,0.9606958158565809,0.9950034867996848,0.9931864587051207,37,142.83560752868652
120,64,0.00075,2.0,8.0,2,3,1e-07,0.9871975371873054,0.15324295059839885,0.9606501674703735,0.994489998853171,0.9936499824256774,36,233.50944089889526
121,128,0.00075,2.0,8.0,3,3,1e-07,0.9871962179539937,0.14549540364742278,0.9603951237462137,0.9944040997290733,0.9939856483406876,37,142.88314747810364
122,64,0.00075,2.0,8.0,2,3,1e-08,0.9871373621924143,0.14824044318993887,0.9599091308385321,0.9947586424948875,0.9938816754362377,37,240.45239925384521
123,128,0.0005,3.0,6.0,3,3,1e-07,0.9871331802140937,0.22710633579889933,0.9606616059883556,0.9944072434176012,0.993463871450418,37,142.79757499694824
124,64,0.0005,2.0,6.0,2,3,1e-08,0.987131910941391,0.14467269285519918,0.9604134740185606,0.9942685872840634,0.9938455824629399,37,239.2208435535431
125,64,0.00075,2.0,6.0,2,1,1e-07,0.9869442428613501,0.15667768494288126,0.9614017888887579,0.9927037567810334,0.993671425775609,50,337.6493320465088
126,64,0.00075,3.0,6.0,2,3,1e-08,0.9868752553125941,0.22598270519574484,0.9602031200903183,0.9938555832462324,0.993442317913826,37,244.8982174396515
127,64,0.0005,3.0,8.0,2,3,1e-08,0.9867360074883698,0.21633753331502278,0.9600432008790236,0.9935756022521658,0.9933252268222896,37,239.39218664169312
128,64,0.0005,3.0,6.0,2,1,1e-08,0.9865830551889223,0.23196645991007486,0.9597296237831776,0.9934414641644244,0.9931611328080875,50,328.1621882915497
129,64,0.0005,2.0,6.0,3,1,1e-07,0.9865316274837743,0.1678075088262558,0.9595141395099765,0.993477810868569,0.9931345595565518,50,330.06682324409485
130,64,0.0005,3.0,8.0,2,1,1e-08,0.9863733180433639,0.25486323221524554,0.9600665847061135,0.9932071089266816,0.9922195785406608,50,328.4759578704834
131,128,0.00075,3.0,8.0,3,3,1e-08,0.9863048898951239,0.23015816366672515,0.9586756381567837,0.9937551432534367,0.9927887781702751,36,138.96078157424927
132,128,0.0005,2.0,8.0,2,1,1e-08,0.9861803478116122,0.16539703194300334,0.9598150938763511,0.992405115622659,0.9925011817474388,50,187.80523443222046
133,64,0.00075,3.0,8.0,3,1,1e-07,0.9859688687237255,0.24155575386683145,0.9591842618734543,0.9907881819982921,0.9939030310231557,50,415.76888942718506
134,64,0.0005,2.0,8.0,2,1,1e-08,0.9858933644349145,0.16587825802961986,0.957693033429872,0.9929062499404544,0.9929741743693317,50,330.84098744392395
135,64,0.00075,3.0,6.0,2,3,1e-07,0.9857234542308466,0.24109912220637003,0.9562312772920056,0.9938596244276112,0.9928029152037697,36,237.9827799797058
